,dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,14_day_cases
0,2020-12-14,746,6,Afghanistan,AF,AFG,38041757.0,Asia,9.01377925
1,2020-12-13,298,9,Afghanistan,AF,AFG,38041757.0,Asia,7.05277624
2,2020-12-12,113,11,Afghanistan,AF,AFG,38041757.0,Asia,6.86876792
3,2020-11-12,63,10,Afghanistan,AF,AFG,38041757.0,Asia,7.13426564
4,2020-10-12,202,16,Afghanistan,AF,AFG,38041757.0,Asia,6.96865815
5,2020-09-12,135,13,Afghanistan,AF,AFG,38041757.0,Asia,6.96340077
6,2020-08-12,200,6,Afghanistan,AF,AFG,38041757.0,Asia,7.09483529
7,2020-07-12,210,26,Afghanistan,AF,AFG,38041757.0,Asia,7.21575505
8,2020-06-12,234,10,Afghanistan,AF,AFG,38041757.0,Asia,7.32616004
9,2020-05-12,235,18,Afghanistan,AF,AFG,38041757.0,Asia,7.11586481
10,2020-04-12,119,5,Afghanistan,AF,AFG,38041757.0,Asia,7.10797874
11,2020-03-12,202,19,Afghanistan,AF,AFG,38041757.0,Asia,7.53645527
12,2020-02-12,400,48,Afghanistan,AF,AFG,38041757.0,Asia,7.00545982
13,2020-01-12,272,11,Afghanistan,AF,AFG,38041757.0,Asia,6.96077208
14,2020-11-30,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.41663317
15,2020-11-29,228,11,Afghanistan,AF,AFG,38041757.0,Asia,6.8451097
16,2020-11-28,214,15,Afghanistan,AF,AFG,38041757.0,Asia,6.78464983
17,2020-11-27,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.39560365
18,2020-11-26,200,12,Afghanistan,AF,AFG,38041757.0,Asia,7.34193218
19,2020-11-25,185,13,Afghanistan,AF,AFG,38041757.0,Asia,7.1999829
20,2020-11-24,246,17,Afghanistan,AF,AFG,38041757.0,Asia,6.71367519
21,2020-11-23,252,8,Afghanistan,AF,AFG,38041757.0,Asia,6.655844
22,2020-11-22,154,12,Afghanistan,AF,AFG,38041757.0,Asia,6.20370926
23,2020-11-21,232,25,Afghanistan,AF,AFG,38041757.0,Asia,6.13010593
24,2020-11-20,282,5,Afghanistan,AF,AFG,38041757.0,Asia,5.6727138
25,2020-11-19,0,0,Afghanistan,AF,AFG,38041757.0,Asia,5.03657073
26,2020-11-18,383,13,Afghanistan,AF,AFG,38041757.0,Asia,5.35464227
27,2020-11-17,65,6,Afghanistan,AF,AFG,38041757.0,Asia,4.57392123
28,2020-11-16,163,9,Afghanistan,AF,AFG,38041757.0,Asia,4.65278194
29,2020-11-15,205,12,Afghanistan,AF,AFG,38041757.0,Asia,4.57129254
30,2020-11-14,66,10,Afghanistan,AF,AFG,38041757.0,Asia,4.23219148
31,2020-11-13,360,14,Afghanistan,AF,AFG,38041757.0,Asia,4.47140231
32,2020-12-11,146,4,Afghanistan,AF,AFG,38041757.0,Asia,3.84840269
33,2020-11-11,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.4646139
34,2020-10-11,224,12,Afghanistan,AF,AFG,38041757.0,Asia,3.76165591
35,2020-09-11,80,3,Afghanistan,AF,AFG,38041757.0,Asia,3.69593865
36,2020-08-11,126,6,Afghanistan,AF,AFG,38041757.0,Asia,3.65650829
37,2020-07-11,58,2,Afghanistan,AF,AFG,38041757.0,Asia,3.53821723
38,2020-06-11,40,0,Afghanistan,AF,AFG,38041757.0,Asia,3.5461033
39,2020-05-11,121,6,Afghanistan,AF,AFG,38041757.0,Asia,3.74588377
